objectID,title,artist,department,objectDate,medium,image_path
625718,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625718.jpg
625729,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625729.jpg
625716,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625716.jpg
625714,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625714.jpg
625723,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625723.jpg
625756,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625756.jpg
625724,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625724.jpg
625728,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625728.jpg
625730,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625730.jpg
625777,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625777.jpg
625760,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625760.jpg
625782,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625782.jpg
625806,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625806.jpg
625759,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625759.jpg
625796,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625796.jpg
625780,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625780.jpg
625790,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625790.jpg
625773,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625773.jpg
625775,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625775.jpg
625779,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625779.jpg
625767,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625767.jpg
625761,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625761.jpg
625772,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625772.jpg
625808,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625808.jpg
625802,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625802.jpg
625778,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625778.jpg
625786,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625786.jpg
625797,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625797.jpg
625765,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625765.jpg
625774,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625774.jpg
625764,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625764.jpg
625791,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625791.jpg
625792,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625792.jpg
625785,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625785.jpg
625795,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625795.jpg
625771,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625771.jpg
625766,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625766.jpg
625784,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625784.jpg
625793,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625793.jpg
625762,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625762.jpg
625799,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625799.jpg
625803,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625803.jpg
625763,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625763.jpg
625768,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625768.jpg
625794,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625794.jpg
625789,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625789.jpg
625770,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625770.jpg
625776,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625776.jpg
625781,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625781.jpg
625787,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625787.jpg
625798,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625798.jpg
625769,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625769.jpg
625800,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625800.jpg
625801,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625801.jpg
625788,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625788.jpg
625805,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625805.jpg
625807,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625807.jpg
625783,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625783.jpg
625804,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625804.jpg
625809,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625809.jpg
625832,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625832.jpg
625855,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625855.jpg
625838,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625838.jpg
625843,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625843.jpg
625845,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625845.jpg
625841,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625841.jpg
625836,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625836.jpg
625849,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625849.jpg
625851,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625851.jpg
625846,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625846.jpg
625829,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625829.jpg
625862,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625862.jpg
625852,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625852.jpg
625824,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625824.jpg
625842,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625842.jpg
625844,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625844.jpg
625873,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625873.jpg
625876,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625876.jpg
625870,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625870.jpg
625863,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625863.jpg
625891,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625891.jpg
625896,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625896.jpg
625879,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625879.jpg
625887,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625887.jpg
625881,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625881.jpg
625864,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625864.jpg
625892,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625892.jpg
